Dates,PR_0.05,PR_0.08,PR_0.1
2021-07-01,0.0005911823647295471,0.0007314629258517889,0.0008016032064129097
2021-07-14,0.0006412825651303478,0.0008116232464930698,0.0008717434869740306
2021-07-27,0.0006412825651303478,0.0008016032064129097,0.0008717434869740306
2021-08-09,0.0007615230460922692,0.0009619238476954717,0.0010420841683367527
2021-08-22,0.0010320641282565925,0.0012525050100201153,0.0013527054108217163
2021-09-04,0.0032565130260521396,0.0038877755511022272,0.004168336673346711
2021-09-17,1.0020040080260122e-05,1.0020040080260122e-05,1.0020040080260122e-05
2021-09-30,2.0040080160420244e-05,2.0040080160420244e-05,2.0040080160420244e-05
2021-10-13,1.0020040080260122e-05,1.0020040080260122e-05,1.0020040080260122e-05
2021-10-26,1.0020040080260122e-05,1.0020040080260122e-05,1.0020040080260122e-05
2021-11-08,1e-16,1e-16,1e-16
2021-11-21,1.0020040080260122e-05,1.0020040080260122e-05,1.0020040080260122e-05
2021-12-04,0.000490981963927946,0.0005911823647295471,0.0006412825651303478
2021-12-17,0.0005110220440882662,0.0006312625250501876,0.0006813627254509883
2021-12-30,0.000490981963927946,0.0006212424849700275,0.0006813627254509883
2022-01-12,0.0003807615230461846,0.0005110220440882662,0.0005711422845692269
2022-01-25,0.000410821643286665,0.0005310621242485865,0.0005911823647295471
2022-02-07,0.0004408817635271454,0.0005711422845692269,0.0006312625250501876
2022-02-20,0.000490981963927946,0.0006112224448898674,0.0006713426853708281
2022-03-05,0.0005210420841684263,0.0006513026052105079,0.0007014028056113085
2022-03-18,0.0005110220440882662,0.0006312625250501876,0.0006813627254509883
2022-03-31,0.0004509018036073055,0.0005611222444890667,0.0006112224448898674
2022-04-13,0.0003507014028057043,0.0004408817635271454,0.0004809619238477859
2022-04-26,0.0004008016032065049,0.0005010020040081061,0.0005511022044089066
2022-05-09,0.0005010020040081061,0.0006312625250501876,0.0007014028056113085
2022-05-22,0.0005410821643287465,0.0006713426853708281,0.000741482965931949
2022-06-04,0.0005511022044089066,0.0007014028056113085,0.0007715430861724293
2022-06-17,0.0004809619238477859,0.0006312625250501876,0.0007014028056113085
