Dates,PR_0.05,PR_0.08,PR_0.1
2021-07-01,0.00036873747494998137,0.000496993987976027,0.000553106212424922
2021-07-14,0.0003166332665331503,0.0004368737474950681,0.0004849699398798352
2021-07-27,0.0005370741482966662,0.0007414829659319266,0.0008296593186373329
2021-08-09,0.0007254509018036708,0.0009819639278557623,0.0010861723446894242
2021-08-22,0.0009138276553106754,0.001222444889779598,0.0013627254509018354
2021-09-04,0.0009739478957916343,0.0012745490981964289,0.0013987975951904106
2021-09-17,0.0010701402805611685,0.0013947895791583467,0.0014789579158316893
2021-09-30,0.0010661322645291046,0.0013386773547094516,0.0014549098196393055
2021-10-13,0.0010941883767535522,0.0013587174348697714,0.001426853707414858
2021-10-26,0.0011823647294589585,0.001426853707414858,0.0015871743486974151
2021-11-08,0.001218436873747534,0.0015511022044088398,0.001659318637274566
2021-11-21,0.0008376753507014608,0.0010220440881764015,0.0011142284569138718
2021-12-04,0.00022444889779567993,0.00029659318637283063,0.00033266533066140597
2021-12-17,0.00027655310621251103,0.00038076152304617313,0.0004248496993988763
2021-12-30,0.00028056112224457495,0.0003767535070141092,0.00042885771543094023
2022-01-12,0.0002605210420842553,0.0003727454909820453,0.00041683366733474847
2022-01-25,0.0002444889779559996,0.0003486973947896617,0.00040080160320649273
2022-02-07,0.00024048096192393563,0.00035270541082172563,0.0003967935871744288
2022-02-20,0.00025651302605219137,0.0003647294589179174,0.0004048096192385567
2022-03-05,0.0002645290581163192,0.00036072144288585347,0.0004088176352706206
2022-03-18,0.0002645290581163192,0.0003647294589179174,0.00040080160320649273
2022-03-31,0.00024849699398806353,0.0003486973947896617,0.0003967935871744288
2022-04-13,0.0003366733466934699,0.0004488977955912599,0.0005130260521042827
2022-04-26,0.00038877755511030097,0.0005330661322646023,0.000601202404809689
2022-05-09,0.0005130260521042827,0.0007094188376754151,0.0007975951903808215
2022-05-22,0.000545090180360794,0.0007374749498998627,0.0008296593186373329
2022-06-04,0.0005410821643287301,0.0007454909819639905,0.0008496993987976525
2022-06-17,0.0005651302605211137,0.0007735470941884379,0.0008737474949900362
