Dates,PR_0.05,PR_0.08,PR_0.1
2021-11-29,5.8116232465871745e-06,9.398797595190983e-05,9.9398797595191e-05
2021-12-12,2.0040080170300602e-07,3.947895791589219e-05,8.456913827656855e-05
2021-12-25,1.2024048097180363e-06,1.5430861723531466e-05,7.434869739481524e-05
2022-01-07,6.412825651396193e-06,2.224448897803367e-05,7.394789579160923e-05
2022-01-20,2.204408817733066e-06,1.9839679358797598e-05,6.813627254512205e-05
2022-02-02,1.4028056113210423e-06,2.5450901803681767e-05,7.595190380763929e-05
2022-02-15,2.0040080170300602e-07,7.014028056115211e-05,0.0001
2022-02-28,6.813627254602205e-06,9.539078156313087e-05,9.539078156313087e-05
2022-03-13,3.947895791589219e-05,9.29859719438948e-05,9.29859719438948e-05
2022-03-26,6.372745490985591e-05,9.679358717435191e-05,9.679358717435191e-05
2022-04-08,7.695390781565432e-05,9.879759519038198e-05,9.879759519038198e-05
2022-04-21,5.2505010020087576e-05,0.0001,0.0001
2022-05-04,1.2825651302692386e-05,8.99799599198497e-05,9.919839679358799e-05
2022-05-17,1.6032064129240483e-06,6.0721442885810826e-05,9.118236472946775e-05
2022-05-30,1.0020040081150303e-06,5.350701402810261e-05,8.617234468939259e-05
2022-06-12,1.8036072145270543e-06,6.0521042084207815e-05,9.9599198396794e-05
2022-06-25,5.611222444984169e-06,6.693386773550402e-05,9.9398797595191e-05
2022-07-08,3.4068136273511025e-06,6.773547094191604e-05,9.9398797595191e-05
