Dates,PR_0.05,PR_0.08,PR_0.1
2021-07-01,0.0004488977955912599,0.0005731462925852416,0.0006452905811623923
2021-07-14,0.000496993987976027,0.0006172344689379448,0.0006693386773547758
2021-07-27,0.00047294589178364346,0.000605210420841753,0.0006653306613227119
2021-08-09,0.0005170340681363466,0.0006653306613227119,0.0007334669338677986
2021-08-22,0.0006452905811623923,0.0008016032064128854,0.0008697394789579723
2021-09-04,0.001154308617234511,0.0013426853707415155,0.0014629258517034334
2021-09-17,0.001927855711422849,0.001927855711422849,0.001927855711422849
2021-09-30,5.2104208416931054e-05,5.2104208416931054e-05,5.2104208416931054e-05
2021-10-13,4.008016032163927e-06,4.008016032163927e-06,4.008016032163927e-06
2021-10-26,1.2024048096291783e-05,1.2024048096291783e-05,1.2024048096291783e-05
2021-11-08,0.0018997995991984016,0.0018997995991984016,0.0018997995991984016
2021-11-21,0.0018677354709418902,0.0019679358717434887,0.0019679358717434887
2021-12-04,0.0004368737474950681,0.0005370741482966662,0.0005851703406814334
2021-12-17,0.0004368737474950681,0.0005731462925852416,0.0006372745490982644
2021-12-30,0.00041282565130268455,0.0005571142284569859,0.0006252505010020727
2022-01-12,0.0003166332665331503,0.0004488977955912599,0.0005130260521042827
2022-01-25,0.00032865731462934205,0.00046893787575157954,0.0005330661322646023
2022-02-07,0.00036873747494998137,0.0005050100200401548,0.0005691382765531777
2022-02-20,0.00041282565130268455,0.0005490981963928581,0.000605210420841753
2022-03-05,0.0004328657314630042,0.0005731462925852416,0.0006252505010020727
2022-03-18,0.0004328657314630042,0.0005490981963928581,0.000601202404809689
2022-03-31,0.0003727454909820453,0.0004929859719439631,0.0005370741482966662
2022-04-13,0.00029659318637283063,0.0003927855711423649,0.0004328657314630042
2022-04-26,0.00032865731462934205,0.0004529058116233238,0.0005050100200401548
2022-05-09,0.00041282565130268455,0.0005691382765531777,0.0006412825651303283
2022-05-22,0.00044488977955919597,0.000609218436873817,0.0006893787575150955
2022-06-04,0.00044488977955919597,0.0006372745490982644,0.000717434869739543
2022-06-17,0.0003967935871744288,0.0005571142284569859,0.0006332665330662005
