Dates,PR_0.05,PR_0.08,PR_0.1
2021-07-01,0.00048396793587182965,0.000617234468937958,0.0006803607214429662
2021-07-14,0.0004138276553107094,0.0005400801603207257,0.00058917835671351
2021-07-27,0.0007084168336674143,0.000911823647294663,0.0010170340681363433
2021-08-09,0.0009749498997996713,0.001241482965931928,0.0013677354709419446
2021-08-22,0.0012695390781563762,0.0015781563126253052,0.0017324649298597699
2021-09-04,0.001444889779559177,0.0018236472945892261,0.0019288577154309065
2021-09-17,0.0016132264529058655,0.002027054108216475,0.0021813627254509394
2021-09-30,0.001760521042084218,0.0021392785571142676,0.002349699398797628
2021-10-13,0.0018797595190381223,0.002335671342685404,0.002532064128256541
2021-10-26,0.002335671342685404,0.002847695390781582,0.0030861723446893906
2021-11-08,0.002553106212424877,0.0030300601202404944,0.0033176352705410876
2021-11-21,0.001522044088176409,0.0018376753507014503,0.001991983967935915
2021-12-04,0.0002665330661323569,0.00033667334669347716,0.00036472945891792525
2021-12-17,0.00032965931863736513,0.00042084168336682144,0.0004629258517034936
2021-12-30,0.00033667334669347716,0.00042084168336682144,0.0004699398797596056
2022-01-12,0.0003226452905812531,0.0004138276553107094,0.0004629258517034936
2022-01-25,0.00030861723446902906,0.00039979959919848537,0.0004418837675351575
2022-02-07,0.00030861723446902906,0.00039278557114237335,0.0004418837675351575
2022-02-20,0.0003226452905812531,0.0004068136272545974,0.00044889779559126954
2022-03-05,0.00032965931863736513,0.0004138276553107094,0.00045591182364738156
2022-03-18,0.00032965931863736513,0.00042084168336682144,0.0004629258517034936
2022-03-31,0.0003156312625251411,0.00039979959919848537,0.0004418837675351575
2022-04-13,0.0004068136272545974,0.0005120240480962776,0.0005681362725451738
2022-04-26,0.00047695390781571763,0.000603206412825734,0.0006593186372746302
2022-05-09,0.00062424849699407,0.0007925851703407586,0.0008697394789579909
2022-05-22,0.0006523046092185181,0.0008346693386774308,0.000911823647294663
2022-06-04,0.0006803607214429662,0.0008486973947896548,0.0009328657314629991
2022-06-17,0.0006943887775551904,0.0008627254509018789,0.0009539078156313352
